Type,Csid,Cgrid,Cap_kW,waitingLine,Vol_0min,Vol_30min,Vol_60min,ElapsedTime
F,90001201,1,0,0,0,0,0,1440
F,90001600,0,0,0,0,0,0,1440
F,90000000,0,90,1,1,0,0,1500
F,90000001,1,0,1,0,0,0,1500
F,90000200,0,0,0,0,0,0,1500
F,90000201,1,0,0,0,0,0,1500
F,90000400,0,0,0,0,0,0,1500
F,90000401,1,0,0,0,0,0,1500
F,90000800,0,0,0,0,0,0,1500
F,90001000,0,0,0,0,0,0,1500
F,90001200,0,0,0,0,0,0,1500
F,90001201,1,0,0,0,0,0,1500
F,90001600,0,0,0,0,0,0,1500
F,90000000,0,90,1,1,0,0,1560
F,90000001,1,0,1,0,0,0,1560
F,90000200,0,0,0,0,0,0,1560
F,90000201,1,0,0,0,0,0,1560
F,90000400,0,0,0,0,0,0,1560
F,90000401,1,0,0,0,0,0,1560
F,90000800,0,0,0,0,0,0,1560
F,90001000,0,0,0,0,0,0,1560
F,90001200,0,0,0,0,0,0,1560
F,90001201,1,0,0,0,0,0,1560
F,90001600,0,0,0,0,0,0,1560
F,90000000,0,0,0,0,0,0,1620
F,90000001,1,0,0,0,0,0,1620
F,90000200,0,0,0,0,0,0,1620
F,90000201,1,0,0,0,0,0,1620
F,90000400,0,0,0,0,0,0,1620
F,90000401,1,0,0,0,0,0,1620
F,90000800,0,0,0,0,0,0,1620
F,90001000,0,0,0,0,0,0,1620
F,90001200,0,0,0,0,0,0,1620
F,90001201,1,0,0,0,0,0,1620
F,90001600,0,0,0,0,0,0,1620
F,90000000,0,0,0,0,0,0,1680
F,90000001,1,0,0,0,0,0,1680
F,90000200,0,0,0,0,0,0,1680
F,90000201,1,0,0,0,0,0,1680
F,90000400,0,0,0,0,0,0,1680
F,90000401,1,0,0,0,0,0,1680
F,90000800,0,0,0,0,0,0,1680
F,90001000,0,0,0,0,0,0,1680
F,90001200,0,0,0,0,0,0,1680
F,90001201,1,0,0,0,0,0,1680
F,90001600,0,0,0,0,0,0,1680
F,90000000,0,0,0,0,0,0,1740
F,90000001,1,0,0,0,0,0,1740
F,90000200,0,0,0,0,0,0,1740
F,90000201,1,0,0,0,0,0,1740
F,90000400,0,0,0,0,0,0,1740
F,90000401,1,0,0,0,0,0,1740
F,90000800,0,0,0,0,0,0,1740
F,90001000,0,0,0,0,0,0,1740
F,90001200,0,0,0,0,0,0,1740
F,90001201,1,0,0,0,0,0,1740
F,90001600,0,0,0,0,0,0,1740
F,90000000,0,0,0,0,0,0,1800
F,90000001,1,0,0,0,0,0,1800
F,90000200,0,0,0,0,0,0,1800
F,90000201,1,0,0,0,0,0,1800
F,90000400,0,0,0,0,0,0,1800
F,90000401,1,0,0,0,0,0,1800
F,90000800,0,0,0,0,0,0,1800
F,90001000,0,0,0,0,0,0,1800
F,90001200,0,0,0,0,0,0,1800
F,90001201,1,0,0,0,0,0,1800
F,90001600,0,0,0,0,0,0,1800
F,90000000,0,0,0,0,0,0,1860
F,90000001,1,0,0,0,0,0,1860
F,90000200,0,0,0,0,0,0,1860
F,90000201,1,0,0,0,0,0,1860
F,90000400,0,0,0,0,0,0,1860
F,90000401,1,0,0,0,0,0,1860
F,90000800,0,0,0,0,0,0,1860
F,90001000,0,0,0,0,0,0,1860
F,90001200,0,0,0,0,0,0,1860
F,90001201,1,0,0,0,0,0,1860
F,90001600,0,0,0,0,0,0,1860
F,90000000,0,0,0,0,0,0,1920
F,90000001,1,0,0,0,0,0,1920
F,90000200,0,0,0,0,0,0,1920
F,90000201,1,0,0,0,0,0,1920
F,90000400,0,0,0,0,0,0,1920
F,90000401,1,0,0,0,0,0,1920
F,90000800,0,0,0,0,0,0,1920
F,90001000,0,0,0,0,0,0,1920
F,90001200,0,0,0,0,0,0,1920
F,90001201,1,0,0,0,0,0,1920
F,90001600,0,0,0,0,0,0,1920
F,90000000,0,0,0,0,0,0,1980
F,90000001,1,0,0,0,0,0,1980
F,90000200,0,0,0,0,0,0,1980
F,90000201,1,0,0,0,0,0,1980
F,90000400,0,0,0,0,0,0,1980
F,90000401,1,0,0,0,0,0,1980
F,90000800,0,0,0,0,0,0,1980
F,90001000,0,0,0,0,0,0,1980
F,90001200,0,0,0,0,0,0,1980
F,90001201,1,0,0,0,0,0,1980
F,90001600,0,0,0,0,0,0,1980
F,90000000,0,0,0,0,0,0,2040
F,90000001,1,0,0,0,0,0,2040
F,90000200,0,0,0,0,0,0,2040
F,90000201,1,0,0,0,0,0,2040
F,90000400,0,0,0,0,0,0,2040
F,90000401,1,0,0,0,0,0,2040
F,90000800,0,0,0,0,0,0,2040
F,90001000,0,0,0,0,0,0,2040
F,90001200,0,0,0,0,0,0,2040
F,90001201,1,0,0,0,0,0,2040
F,90001600,0,0,0,0,0,0,2040
F,90000000,0,0,0,0,0,0,2100
F,90000001,1,0,0,0,0,0,2100
F,90000200,0,0,0,0,0,0,2100
F,90000201,1,0,0,0,0,0,2100
